127.0.0.1 - - [07/Apr/2025:09:40:26 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:40:30 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:40:33 +0900] "GET /web/book/detail.jsp?bno=10002 HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:40:36 +0900] "GET /web/book/modify-form.jsp?bno=10002 HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:41:41 +0900] "GET /web/book/modify-form.jsp?bno=10002 HTTP/1.1" 200 4526
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:41:46 +0900] "POST /web/book/modify.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:44:48 +0900] "GET /web/book/detail.jsp?bno=10002 HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [07/Apr/2025:09:44:49 +0900] "GET /web/book/modify-form.jsp?bno=10002 HTTP/1.1" 200 4526
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:21 +0900] "GET /web/book/detail.jsp?bno=10002 HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:22 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:24 +0900] "GET /web/book/detail.jsp?bno=10002 HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:25 +0900] "GET /web/book/modify-form.jsp?bno=10002 HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:41 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:47 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:59 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:14:59 +0900] "GET /web/book/detail.jsp?bno10000 HTTP/1.1" 500 2537
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:16:03 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:16:03 +0900] "GET /web/book/detail.jsp?bno10000 HTTP/1.1" 500 2537
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:19 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:22 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:23 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:27 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:29 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:33 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:17:34 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:18:22 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:18:23 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:18:25 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:18:32 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:18:32 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:20:54 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:20:56 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:20:58 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:21:00 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:21:04 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:21:05 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:23:03 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:23:07 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:23:07 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:24:21 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:24:23 +0900] "GET /web/book/modify-form.jsp?bno=10000 HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:24:28 +0900] "POST /web/book/modify.jsp?bno=10000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:24:28 +0900] "GET /web/book/detail.jsp?bno=10000 HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [07/Apr/2025:11:30:43 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:11:04 +0900] "GET /web/book/list.jsp HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:13:17 +0900] "GET /web/book/list.jsp HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:13:23 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:17:12 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:17:29 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:17:31 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:17:32 +0900] "GET /web/book/list.jsp?page=2 HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:17:33 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:43:15 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:43:17 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:43:19 +0900] "GET /web/book/list.jsp?page=2 HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:43:20 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [07/Apr/2025:12:43:21 +0900] "GET /web/book/list.jsp?page=4 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:09:57 +0900] "GET /web/book/list.jsp?page=4 HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:09:59 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:10:43 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:10:45 +0900] "GET /web/book/list.jsp?page=2 HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:10:46 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:10:47 +0900] "GET /web/book/list.jsp?page=4 HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:50 +0900] "GET /web/book/list.jsp?page=4 HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:52 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:54 +0900] "GET /web/book/list.jsp?page=2 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:55 +0900] "GET /web/book/list.jsp?page=3 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:57 +0900] "GET /web/book/list.jsp?page=2 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:58 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:15:59 +0900] "GET /web/book/list.jsp?page=0 HTTP/1.1" 200 4251
0:0:0:0:0:0:0:1 - - [07/Apr/2025:14:16:01 +0900] "GET /web/book/list.jsp?page=1 HTTP/1.1" 200 4256
