127.0.0.1 - - [13/May/2025:09:08:15 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/May/2025:09:08:25 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=56 HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [13/May/2025:09:08:25 +0900] "GET /movmov/resources/images/shop/%EC%A0%91%EC%B0%A9%EC%8B%9D%20%ED%8F%AC%ED%86%A0%EC%95%A8%EB%B2%94%20%EB%82%B4%EC%A7%80(10%EB%A7%A4%EC%9E%85).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:09:33:59 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=56 HTTP/1.1" 200 10346
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 13792
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%EC%8A%A4%EC%9C%84%ED%8A%B8%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%EB%94%94%EC%B9%B4%ED%8E%98%EC%9D%B8%EC%BD%9C%EB%93%9C%EB%B8%8C%EB%A3%A8.jpg HTTP/1.1" 200 10405
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%EC%97%90%EC%9D%B4%EB%93%9C.jpg HTTP/1.1" 200 29404
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/Dolby%20Atmos%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 200 10084
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%EC%8B%B1%EA%B8%80%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 200 66451
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%EB%9F%AC%EB%B8%8C%EC%BD%A4%EB%B3%B4%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 200 85341
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%ED%95%91%ED%81%AC%EB%A0%88%EB%AA%AC%EC%97%90%EC%9D%B4%EB%93%9C.jpg HTTP/1.1" 200 13235
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%BB%A4%EB%B2%84(%EB%B8%94%EB%9E%99,%ED%99%94%EC%9D%B4%ED%8A%B8).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20%EC%BB%A4%EB%B2%84(%EC%9E%90%EC%84%9D%ED%98%95).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C(M).jpg HTTP/1.1" 200 19704
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:01 +0900] "GET /movmov/resources/images/shop/CGV%20TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%86%8D%EC%A7%80%20PVC%20(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:02 +0900] "GET /movmov/pages/community/community-main.jsp HTTP/1.1" 200 13910
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:02 +0900] "GET /movmov/resources/style/community/community-main.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/pages/movie/movie-list.jsp HTTP/1.1" 200 17313
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/style/movie/movie-list.css HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/2.webp HTTP/1.1" 200 14828
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/1.webp HTTP/1.1" 200 18734
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/3.webp HTTP/1.1" 200 23270
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/5.webp HTTP/1.1" 200 16762
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/4.webp HTTP/1.1" 200 31072
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/7.webp HTTP/1.1" 200 28986
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/6.webp HTTP/1.1" 200 19766
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/9.webp HTTP/1.1" 200 19338
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/8.webp HTTP/1.1" 200 16182
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/resources/images/movie/10.webp HTTP/1.1" 200 42276
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:06 +0900] "GET /movmov/pages/movie/resources/images/common/favicon.ico HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:07 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:09:34:08 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 13792
0:0:0:0:0:0:0:1 - - [13/May/2025:09:38:48 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9457
0:0:0:0:0:0:0:1 - - [13/May/2025:09:39:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9431
0:0:0:0:0:0:0:1 - - [13/May/2025:09:48:43 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9460
0:0:0:0:0:0:0:1 - - [13/May/2025:09:48:46 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9460
0:0:0:0:0:0:0:1 - - [13/May/2025:09:49:48 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9484
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:33 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:38 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:40 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:40 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
