127.0.0.1 - - [11/Jul/2025:09:33:57 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 12160
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EC%94%A8%EB%84%A4%EB%93%9C%EC%89%90%ED%94%84%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EB%9F%AC%EB%B8%8C%EC%BD%A4%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%EC%8A%A4%EC%9C%84%ED%8A%B8%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%ED%94%84%EB%9D%BC%EC%9D%B4%EB%B9%97%201%ED%98%B8%20%EC%A0%84%EC%9A%A9%20%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%EB%B8%94%EC%BD%A4%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/Dolby%20Cinema%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%EB%B8%94%EC%BD%A4%EB%B3%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EC%98%A4%EC%A7%95%EC%96%B4%ED%8A%80%EA%B9%80%20%EC%84%B8%ED%8A%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/CGV%20TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%86%8D%EC%A7%80(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20%EC%BB%A4%EB%B2%84(%EC%9E%90%EC%84%9D%ED%98%95).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/%EC%A0%91%EC%B0%A9%EC%8B%9D%20%ED%8F%AC%ED%86%A0%EC%95%A8%EB%B2%94%20%EB%82%B4%EC%A7%80(10%EB%A7%A4%EC%9E%85).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/resources/images/shop/TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%BB%A4%EB%B2%84(%EB%B8%94%EB%9E%99,%ED%99%94%EC%9D%B4%ED%8A%B8).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:13 +0900] "GET /movmov/pages/shop/resources/images/common/favicon.ico HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/pages/shop/shop-list.jsp?cno=1 HTTP/1.1" 200 13986
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/style/shop/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%ED%94%84%EB%9D%BC%EC%9D%B4%EB%B9%97%202%ED%98%B8%20%EC%A0%84%EC%9A%A9%20%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/CGV%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/SCREENX%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EC%8B%B1%EA%B8%80%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/Dolby%20Atmos%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EC%9D%BC%EB%B0%98%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%ED%8C%A8%EB%B0%80%EB%A6%AC%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EB%9F%AC%EB%B8%8C%EC%BD%A4%EB%B3%B4%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 304 -
